2015-08-25T10:25:28: Launching bolt session for c:\users\r.kutliahmetov\documents\visual studio 2013\projects\redis\.redis.boltdata - SessionId: 65ac22ad-8b7c-4533-91b0-d31d2f39ae66
2015-08-25T11:26:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:27:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:27:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:28:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:28:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:29:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:29:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:30:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:30:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-08-25T11:31:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:31:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-08-25T11:32:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:32:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:33:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:33:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,000s 
2015-08-25T11:34:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:34:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,000s 
2015-08-25T11:35:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-08-25T11:35:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:36:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:36:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-08-25T11:37:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:37:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:38:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:38:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:39:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:39:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:40:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-08-25T11:40:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:41:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:41:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:42:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:42:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:43:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:43:52: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:44:22: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-08-25T11:44:53: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:45:23: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:45:53: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:46:23: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:46:53: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:47:23: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:47:53: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:48:23: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:48:53: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:49:23: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:49:53: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:50:23: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:50:53: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:51:23: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:51:53: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:52:23: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:52:53: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T11:53:23: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
